UPC,ASIN,Name,List Price,Model,MPN,Brand,Color,Sales Rank,Category,Pick & Pack,Weight Handling,Order Handling,30d Storage,VCF,FBA Fees,Referral,Width,Height,Length,Weight,Buy Box,FBA BB,New Offers,FBA Offers,AMZ on Listing
*642863041129,B00SR0V92S,Greenies Dental Treat For Dogs Large,95.97,,GRE04112,Nutro,,2831149,Sports,N/A,N/A,N/A,N/A,N/A,N/A,0.15,0,0,0,4.8,N/A,N,1,0,N
*642863041129,B00U9O4JL8,27OZ LG Dog Treat Pak (Pack of 2),44.16,,GRE04112,GREENIES/NUTRO,,,Pet Products,N/A,N/A,N/A,N/A,N/A,N/A,0.15,0,0,0,1.6,60.14,N,3,0,N
*642863041129,B00ZY7ZD60,Greenies Dog Dental Treats Large 17/pk Case of 12,,,,Greenies,,,Pet Products,N/A,N/A,N/A,N/A,N/A,N/A,0.15,0,0,0,0,N/A,N,0,0,N
*642863041129,B014DBFTFW,"GREENIES Dental Chews Treats for Dogs, Large, 17 Count",34.49,10071441,,Greenies,,12361,Pantry,1.06,2.34,1.00,0.07,0,4.47,0.15,6.9,4.4,7.8,1.9,17.39,Y,1,0,N
*642863041129,B017Z44MKC,Greenies Dental Treat For Dogs Large,,,GRE04112,Greenies,,148285,Pet Products,N/A,N/A,N/A,N/A,N/A,N/A,0.15,0,0,0,27.2,N/A,N,0,0,N
*642863041129,B01A5TGZ7W,Greenies Dental Treat For Dogs Large,,,GRE04112,Greenies,,,Pet Products,N/A,N/A,N/A,N/A,N/A,N/A,0.15,0,0,0,14.4,261.88,N,1,0,N
*642863041129,B01A5TK8K2,Greenies Dental Treat For Dogs Large,,,GRE04112,Greenies,,,Pet Products,N/A,N/A,N/A,N/A,N/A,N/A,0.15,0,0,0,6.4,121.41,N,2,0,N
*642863041129,B01A5TFUSC,Greenies Dental Treat For Dogs Large,,,GRE04112,Greenies,,,Pet Products,N/A,N/A,N/A,N/A,N/A,N/A,0.15,0,0,0,9.6,181.02,N,1,0,N
*642863041129,B001797XPI,GREENIES Dental Chews Large Treats for Dogs - Treat TUB-PAK Package 27 oz. 17 Count,25.99,10071441,10071441,Greenies,,2112,Pet Products,1.06,2.34,1.00,0.06,0,4.46,0.15,6.6,3.6,7.6,2.1,17.39,Y,40,6,Y
*642863041129,B00QYCRH7C,Greenies Dental Treat For Dogs Large,319.9,,GRE04112,Nutro,,2932103,Sports,N/A,N/A,N/A,N/A,N/A,N/A,0.15,0,0,0,16,304.66,N,1,0,N
*642863041174,B00QYCRE6Q,Greenies Dental Treat For Dogs Regular Size,50.97,,GRE04117,Greenies,Green,2287023,Sports,N/A,N/A,N/A,N/A,N/A,N/A,0.15,0,0,0,2.1,72.39,N,1,0,N
*642863041174,B01A5TH7RO,Greenies Dental Treat For Dogs Regular Size,,,GRE04117,Greenies,,,Pet Products,N/A,N/A,N/A,N/A,N/A,N/A,0.15,0,0,0,1.4,50.16,N,1,0,N
