UPC,ASIN,Name,List Price,Model,MPN,Brand,Color,Sales Rank,Category,Pick & Pack,Weight Handling,Order Handling,30d Storage,VCF,FBA Fees,Referral,Width,Height,Length,Weight,Buy Box,FBA BB,New Offers,FBA Offers,AMZ on Listing
*078565840676,B000NPCKNW,Smokehouse Pet Products 84067 Beef Rolls 6 Count,3.49,,31084067,SmokeHouse,,340088,Pet Products,1.06,0.96,1.00,0.01,0,3.03,0.15,5,0.9,9.4,0.25,6.57,N,8,0,N
*078565840676,B007BJV9CG,Smokehouse Aries Treat USA Beef Rolls (6 Pack),4.82,31084067,31084067,Smokehouse Aries,,278611,Pet Products,1.06,0.96,1.00,0.01,0,3.03,0.15,5,0.9,9.4,0.25,N/A,N,4,0,N
*078565840676,B015MSM3MW,Smokehouse Pet Products 6 Pack Beef Roll 84067,14.02,,84067,SMOKEHOUSE TREATS,,,Pet Products,N/A,N/A,N/A,N/A,N/A,N/A,0.15,0,0,0,0,15.78,N,1,0,N
*078565840676,B002DZI38G,Smokehouse Pet Products Smokehouse Sausage Beef Rolls 6 Pk,5.99,,078565840676,SmokeHouse,,144962,Pet Products,1.06,0.96,1.00,0.01,0,3.03,0.15,5,0.8,9.3,0.2,6.43,Y,5,0,N
*078565841468,B000T9THP6,"Smokehouse Lamb Munchies, Dog Treats, 4 oz",,726637200,,SmokeHouse,,,Pet Products,1.06,0.96,1.00,0.03,0,3.05,0.15,6,3,6,0.35,N/A,N,0,0,N
*078565841468,B0041L8ZHE,Usa Made Lamb Munchies (Pack of 3),109900.0,,84146,SmokeHouse,,209273,Pet Products,1.06,0.96,1.00,0.01,0,3.03,0.15,3.6,1.5,5.8,0.1,13.95,N,4,0,N
*078565841468,B002DZE8AS,Smokehouse Pet Products Smokehouse Lammy Munchies 4oz,10.08,,078565841468,SmokeHouse,,688414,Pet Products,N/A,N/A,N/A,N/A,N/A,N/A,0.15,0,0,0,0,10.47,N,7,0,N
*078565841468,B0009YF3VI,"Smokehouse Pet Products DSM84146 Lammy Munchies Dog Treat, 4-Ounce",5.99,785214,785214,SmokeHouse,,109770,Pet Products,1.06,0.96,1.00,0.05,0,3.07,0.15,6.3,3.1,7.6,0.35,11.21,Y,14,0,N
*078565841840,B002AN70K8,Smokehouse Aries Treat USA Lamb Bone (1 Pack),3.8,31084184,31084184,Smokehouse Aries,,520555,Pet Products,1.06,3.51,1.00,0.00,0,5.57,0.15,2.5,0.7,4,5,6.23,N,7,0,N
*078565842366,B003IYMGWK,Usa Made Piggy Snout Display By Smokehouse Brand Dg Treat - 20 Pack,,,84233,Smokehouse Brand Dg Treat,,647510,Pet Products,N/A,N/A,N/A,N/A,N/A,N/A,0.15,0,0,0,0,N/A,N,0,0,N
*078565842366,B0018CIQ9Q,SmokeHouse Puffed Piggy Snouts Natural Chew For Dogs,2.48,,84236,SmokeHouse,,142614,Pet Products,1.06,0.96,1.00,0.01,0,3.03,0.15,3.6,1.2,4.5,0.1,2.99,N,3,0,N
*078565842366,B001U8FKYC,Smokehouse Brand Dg Treat 84233 Piggy Snout Display,66.74,84236-6,31084236,SmokeHouse,,437925,Pet Products,1.06,0.96,1.00,0.01,0,3.03,0.15,3.94,1.18,4.72,0.04,46.49,N,2,0,N
*078565842335,B003BCUELY,Usa Made Piggy Snout (Pack of 20),48.8,,84233,SmokeHouse,,319293,Pet Products,N/A,N/A,N/A,N/A,N/A,N/A,0.15,0,0,0,0,N/A,N,2,0,N
*078565842557,B0017TX3VG,"Smokehouse 100-Percent Natural Duck Breast Tenders Dog Treats, 8-Ounce",15.99,84255,84255,SMOKEHOUSE TREATS,,13952,Pet Products,1.06,0.96,1.00,0.03,0,3.05,0.15,5.6,2.1,8.6,0.5,8.66,Y,5,0,N
*078565842557,B005F5CI64,Smokehouse Duck Tenders 8 oz. Resealable Bag,,,114079,SmokeHouse,,776175,Pet Products,N/A,N/A,N/A,N/A,N/A,N/A,0.15,0,0,0,0,24.85,N,1,0,N
*078565842908,B002ANC2LK,"SMOKEHOUSE 785084 Duck Chips Natural Chews for Dogs, 8-Ounce Pouch",16.49,785084,785084,SmokeHouse,,139669,Pet Products,1.06,0.96,1.00,0.04,0,3.06,0.15,6,2.2,9.5,0.55,13.11,Y,8,0,N
*699187291372,B002AN89IA,"SMOKEHOUSE PET PRODUCTS 84293 Duck Potato Treat for Dogs, 4-Ounce",6.99,84293,84293,SmokeHouse,,73491,Pet Products,1.06,0.96,1.00,0.01,0,3.03,0.15,2.9,1.4,4.9,0.02,5.76,N,9,0,N
*078565842939,B00GXKL1P4,"Smokehouse Pet Products 84293 Duck & Sweet Potato Dog Treat, 4-oz. - Quantity 50",349.5,,84293,SmokeHouse,,,Pet Products,4.09,7.52,0.00,0.59,0,12.20,0.15,13,13,14,15,219.48,N,1,0,N
*078565842946,B0021L8XT6,"Smokehouse 100-Percent Natural Duck and Sweet Potato Dog Treats, 8-Ounce",9.99,84294,84294,SMOKEHOUSE TREATS,,24751,Pet Products,1.06,0.96,1.00,0.02,0,3.04,0.15,5,1.8,8.6,0.4,9.11,Y,17,0,N
*078565842977,B0059N4TVE,"SMOKEHOUSE 785202 Toobles Food for Dogs, 8 to 9-Inch",,785202,785202,SmokeHouse,,260838,Pet Products,1.06,3.12,1.00,0.21,0,5.39,0.15,11.1,4.5,13.5,2.8,6.99,N,5,0,N
*078565842984,B002NC5M5G,"Smokehouse Aries Treat USA Toobles, 4-5""",2.1,31084298,31084298,Smokehouse Aries,,538459,Pet Products,4.09,5.96,0.00,0.45,0,10.50,0.15,15,8,15,5,N/A,N,3,0,N
*078565842984,B0059N4UH2,Smokehouse Pet Products Toobles Shrink-Wrapped 4 Inch -5 Inch,,,078565842984,SmokeHouse,,284538,Pet Products,1.06,0.50,1.00,0.00,0,2.56,0.15,2.1,0.7,4.2,0.1,6.89,N,3,0,N
*078565843189,B001CPUPMA,"Smokehouse 100-Percent Natural Chicken Breast Strips Dog Treats, 16-Ounce",22.99,84318,84318,SMOKEHOUSE TREATS,,5293,Pet Products,1.06,1.95,1.00,0.07,0,4.08,0.15,6.7,2.9,11.8,1.1,20.39,Y,18,0,N
*078565843189,B0096SH6F4,USA MADE CHICKEN STRIPS - 114084,,84318,84318-9,Unknown,,,Pet Products,N/A,N/A,N/A,N/A,N/A,N/A,0.15,0,0,0,1,43.72,N,1,0,N
*078565843189,B00CQ7XV92,Usa Made Chicken Strips,,,84318,SmokeHouse,,1405285,Health and Beauty,N/A,N/A,N/A,N/A,N/A,N/A,0.15,0,0,0,1.1,78.58,N,1,0,N
*078565843189,B004I6OTQ8,Usa Made Chicken Strips,469900.0,,498452 016,SmokeHouse,,249082,Pet Products,1.06,1.95,1.00,0.02,0,4.03,0.15,6.1,1,11.4,1.05,28.18,Y,3,0,N
*078565854307,B0041Q1DQE,"SMOKEHOUSE PET PRODUCTS 85430 Chick Potato Treat for Dogs, 4-Ounce",8.66,85430,85430,SmokeHouse,,357986,Pet Products,1.06,0.96,1.00,0.02,0,3.04,0.15,4.2,2.5,7,0.25,7.45,N,5,0,N
*078565854307,B00GXJJ3KA,"Smokehouse Pet Products 85430 Chicken & Sweet Potato Dog Treat, 4-oz. - Quantity 50",299.5,,85430,SmokeHouse,,,Pet Products,4.09,7.52,0.00,0.59,0,12.20,0.15,13,13,14,14,219.41,N,1,0,N
*078565854321,B003V4AS3G,"Smokehouse 100-Percent Natural Chicken and Sweet Potato Combo Dog Treats, 16-Ounce",19.99,85432,85432,SMOKEHOUSE TREATS,,6143,Pet Products,1.06,1.95,1.00,0.03,0,4.04,0.15,7.1,1.1,10.7,1.05,15.64,Y,8,0,N
*078565854550,B00AG12HIQ,"SMOKEHOUSE PET PRODUCTS 85455 Chicken Beef Chips Treat for Dogs, 4-Ounce",7.54,85455,85455,SmokeHouse,,43983,Pet Products,1.06,0.96,1.00,0.01,0,3.03,0.15,5.5,1,7.5,0.02,9.39,Y,13,0,N
*078565854550,B00GXJIQD0,Smokehouse Pet Products 85455 SMOKEHOUSE PET PRODUCTS,339.6,,85455,SmokeHouse,,,Pet Products,4.09,9.08,0.00,0.76,0,13.93,0.15,15,12,17,10,9.53,N,2,0,N
*078565854567,B0050TDLTS,Smokehouse 100-Percent Natural Prime Chips Dog Treats,10.99,85456,85456,SMOKEHOUSE TREATS,Prime Chips Chicken and Beef,59051,Pet Products,1.06,0.96,1.00,0.05,0,3.07,0.15,5.9,2.9,10.1,0.55,9.99,Y,9,0,N
