UPC,ASIN,Name,List Price,Model,MPN,Brand,Color,Sales Rank,Category,Pick & Pack,Weight Handling,Order Handling,30d Storage,VCF,FBA Fees,Referral,Width,Height,Length,Weight,Buy Box,FBA BB,New Offers,FBA Offers,AMZ on Listing
*052907001123,B007CGLARW,"Pinnacle Turkey and Potato Grain-Free Formula Dog Food, 13-Ounce Cans, Case of 12",,100064962,100064962,Pinnacle,,204206,Pet Products,1.06,5.85,1.00,0.14,0,8.05,0.15,8.9,4.1,12.1,11.65,N/A,N,2,0,N
*052907001161,B000XQATWA,"Pinnacle Peak Protein Chicken and Ocean Fish Grain-Free Cat Food, 4.5-Pound",21.29,100064971,100064971,Pinnacle,beige,33725,Pet Products,1.06,3.12,1.00,0.11,0,5.29,0.15,8.3,4.4,9.6,4.75,18.98,Y,10,0,N
*052907001192,B007CGLCQG,"Pinnacle Salmon and Potato Grain-Free Formula Dog Food, 13-Ounce Can",,100064952,100064952,Pinnacle,,253554,Pet Products,1.06,0.96,1.00,0.01,0,3.03,0.15,2.9,2.9,3.8,0.35,38.78,Y,5,0,N
*052907001253,B00009OLFA,"Feline Holistic Chicken and Tuna Recipe Cat Food (5.5-oz, case of 24)",,528190,72100125,Pinnacle,Blues & Purples,203734,Pet Products,1.06,5.07,1.00,0.13,0,7.26,0.15,10.5,3,13.5,9.45,45.44,Y,4,0,N
*052907001253,B009MNBXF2,"Pinnacle Holistic Chicken and Tuna Cat Food, 5.5-Ounce Cans, Case of 24",41.19,100064968,100064968,Pinnacle,,536428,Pet Products,1.06,5.07,1.00,0.14,0,7.27,0.15,10.4,3.1,13.7,9.4,57.76,N,1,0,N
*052907001307,B00009OLFB,Pinnacle Cat Food - Ocean Fish - 24x5.5 oz,,,72100130,Pinnacle,Golds & Yellows,244611,Pet Products,1.06,5.07,1.00,0.15,0,7.28,0.15,10.9,3.3,13.7,9.45,44.99,Y,3,0,N
*052907001307,B009MNOCAU,"Pinnacle Holistic Ocean Fish Cat Food, 5.5-Ounce Cans, Case of 24",41.19,100064969,100064969,Pinnacle,,250890,Pet Products,1.06,5.07,1.00,0.14,0,7.27,0.15,10.5,3.2,13.6,9.55,41.19,Y,1,0,N
*052907001352,B0084OIH4K,Pinnacle Chicken & Ocean Fish Formula Canned Cat Food,,,72100135,BREEDERS CHOICE PET FOODS,,766787,Pet Products,N/A,N/A,N/A,N/A,N/A,N/A,0.15,0,0,0,0,50.99,N,3,0,N
*052907001352,B009MNBZDW,"Pinnacle Holistic Chicken and Ocean Fish Cat Food, 5.5-Ounce Cans, Case of 24",41.19,100064967,52907001352,Pinnacle,Reds,144286,Pet Products,1.06,5.07,1.00,0.14,0,7.27,0.15,10.4,3.1,13.7,9.65,45.49,N,5,0,N
*052907001802,B004LLKIEC,"Pinnacle Salmon and Potato Grain-Free Formula Dog Food, 4-Pound",22.19,100064955,100064955,Pinnacle,,54670,Pet Products,1.06,3.12,1.00,0.11,0,5.29,0.15,8.4,4.4,9.1,4.4,18.99,Y,9,0,N
*052907001864,B004LLOKS2,"Pinnacle Turkey and Potato Grain-Free Formula Dog Food, 4-Pound",17.69,100064965,100064965,Pinnacle,,24397,Pet Products,1.06,3.12,1.00,0.12,0,5.30,0.15,7.8,4.1,11.9,3.95,16.99,Y,7,0,N
*052907004339,B0054KP4V6,"Breeder's Choice Active Care Healthy Joint Formula Lamb Meal and Brown Rice Dog Food, 4.4-Pound",22.09,100064707,100064707,Breeder's Choice,,172940,Pet Products,1.06,3.12,1.00,0.10,0,5.28,0.15,7.9,3.5,11.1,4.4,14.79,Y,8,0,N
*052907004346,B004PJ6Y02,"Breeder's Choice Active Care Healthy Joint Formula Chicken Meal and Brown Rice Dog Food, 4.4-Pound",18.49,100064703,100064703,Breeder's Choice,,106026,Pet Products,1.06,3.12,1.00,0.09,0,5.27,0.15,7.9,3.9,9.7,4.35,16.14,Y,8,0,N
*052907020001,B00KV3CWE8,Avoderm Natural Puppy Food,,528002,528002,AvoDerm,,674821,Pet Products,N/A,N/A,N/A,N/A,N/A,N/A,0.15,0,0,0,0,29.19,N,1,0,N
*052907020001,B000QSOOZS,"AvoDerm Natural Chicken Meal and Brown Rice Formula Puppy Food, 4.4-Pound",17.99,100064771,100064771,AvoDerm,,33511,Pet Products,1.06,3.12,1.00,0.14,0,5.32,0.15,8.3,3.8,13.9,4.55,9.44,Y,9,0,N
*052907020063,B009MNOCD2,"AvoDerm Natural Chicken Meal and Brown Rice Formula Puppy Food, 13-Ounce Cans, Case of 12",36.49,100064808,100064808,AvoDerm,,209077,Pet Products,1.06,5.85,1.00,0.14,0,8.05,0.15,9,4.1,11.9,11.45,43.95,N,4,0,N
*052907020063,B002SDS2MU,AvoDerm Natural Puppy - 12x13 oz,,,72102006,AvoDerm,,684427,Pet Products,N/A,N/A,N/A,N/A,N/A,N/A,0.15,0,0,0,10.9,35.56,N,1,0,N
*052907020087,B005GWXVJE,"Avoderm Natural Adult Dog Chicken & Rice, Dry 4.4 LB (Pack of 6) ( Value Bulk Multi-pack)",,,,AvoDerm,,,Health and Beauty,N/A,N/A,N/A,N/A,N/A,N/A,0.15,0,0,0,0,N/A,N,0,0,N
*052907020087,B005ZH6ZT8,"Avoderm Natural Adult Dog Chicken & Rice, Dry 4.4 LB (Pack of 6) ( Value Bulk Multi-pack)",,,,AvoDerm,,,Health and Beauty,N/A,N/A,N/A,N/A,N/A,N/A,0.15,0,0,0,0,311.4,N,1,0,N
*052907020087,B005GTTQTG,"Avoderm Natural Adult Dog Chicken & Rice, Dry 4.4 LB (Pack of 6) ( Value Bulk Multi-pack)",,,,AvoDerm,,,Health and Beauty,N/A,N/A,N/A,N/A,N/A,N/A,0.15,0,0,0,0,N/A,N,0,0,N
*052907020087,B005GXFOI4,"Avoderm Natural Adult Dog Chicken & Rice, Dry 4.4 LB (Pack of 6) ( Value Bulk Multi-pack)",,,,AvoDerm,,,Health and Beauty,N/A,N/A,N/A,N/A,N/A,N/A,0.15,0,0,0,0,N/A,N,0,0,N
*052907020087,B005GRAZC0,"Avoderm Natural Adult Dog Chicken & Rice, Dry 4.4 LB (Pack of 6) ( Value Bulk Multi-pack)",,,,AvoDerm,,,Health and Beauty,N/A,N/A,N/A,N/A,N/A,N/A,0.15,0,0,0,0,385.54,N,1,0,N
*052907020087,B004OE3NFW,Avoderm Chicken Rice Dry Dog (6x4.4lb),89.34,,BG10560,AvoDerm,,,Grocery,1.06,3.12,1.00,0.14,0,5.32,0.15,7.8,5.2,11.4,4.75,N/A,N,0,0,N
*052907020087,B00009OLE2,"AvoDerm Natural Chicken Meal and Brown Rice Formula Adult Dog Food, 4.4-Pound",17.19,177212,177212,AvoDerm,,18297,Pet Products,1.06,3.12,1.00,0.12,0,5.30,0.15,7.6,4.3,11.6,4.6,9.49,Y,14,0,N
*052907020087,B005GX60XW,"Avoderm Natural Adult Dog Chicken & Rice, Dry 4.4 LB (Pack of 6) ( Value Bulk Multi-pack)",,,,AvoDerm,,,Health and Beauty,N/A,N/A,N/A,N/A,N/A,N/A,0.15,0,0,0,0,N/A,N,0,0,N
*052907020087,B005GWTGYI,"Avoderm Natural Adult Dog Chicken & Rice, Dry 4.4 LB (Pack of 6) ( Value Bulk Multi-pack)",,,,AvoDerm,,,Health and Beauty,N/A,N/A,N/A,N/A,N/A,N/A,0.15,0,0,0,0,237.26,N,1,0,N
*052907020087,B000QSQSHA,Breeder's Choice AvoDerm Natural Chicken Meal & Brown Rice Adult 4.4lb,12.19,,52907020087,BREEDERS CHOICE PET FOODS,,711039,Pet Products,N/A,N/A,N/A,N/A,N/A,N/A,0.15,0,0,0,4.4,30.14,N,1,0,N
*052907020087,B004UB3XWM,"Avoderm Natural Adult Dog Chicken & Rice, Dry 4.4 LB (Pack of 6)",89.34,,SPPU-287029,AvoDerm,,,Pet Products,N/A,N/A,N/A,N/A,N/A,N/A,0.15,0,0,0,0,N/A,N,2,0,N
*052907620225,B00E8AVLOM,"AvoDerm Natural Chicken Meal and Brown Rice Weight Control Formula Food for Dogs, 13-Ounce Cans, Case of 12",28.79,100064806,100064806,AvoDerm,,26405,Pet Products,1.06,5.85,1.00,0.13,0,8.04,0.15,9,4,11.9,11.2,28.79,Y,4,0,N
*052907020223,B002CZHYD2,"AvoDerm Naturals Lite Chicken and Rice Canned Dog Food, 13--Ounce (Pack of 12)",39.6,177311,177311,Avoderm Naturals,,333855,Pet Products,1.06,6.24,1.00,0.14,0,8.44,0.15,9,4.1,11.8,12.15,48.9,N,3,0,N
*052907020223,B004ODWP2K,"Avoderm, Dog Food Chicken & Rice Lite, 13 oz",2.49,,052907020223,AvoDerm,,462021,Pet Products,1.06,1.95,1.00,0.01,0,4.02,0.15,2.9,2.8,3.8,0.85,N/A,N,1,0,N
*052907020223,B000K3GREU,AvoDerm Natural Lite Rice & Chicken Formula Canned Dog Food,,,,AvoDerm,,675810,Pet Products,N/A,N/A,N/A,N/A,N/A,N/A,0.15,0,0,0,0,35.56,N,1,0,N
*052907020247,B006JCVD6I,"AvoDerm Natural Chicken Meal & Brown Rice Formula Senior Dry Dog Food, 4.4-lb bag",,,052907020247,AvoDerm,,633193,Pet Products,N/A,N/A,N/A,N/A,N/A,N/A,0.15,0,0,0,0,N/A,N,0,0,N
*052907020247,B000QSOP3Y,"AvoDerm Natural Chicken Meal and Brown Rice Formula Senior Dog Food, 4.4-Pound",17.19,100064786,100064786,AvoDerm,,23911,Pet Products,1.06,3.12,1.00,0.10,0,5.28,0.15,7.6,3.8,10.6,4.35,16.21,Y,6,0,N
*052907020308,B000QSOP48,"AvoDerm Natural Lamb Meal and Brown Rice Formula Adult Dog Food, 4.4-Pound",19.99,177253,177253,AvoDerm,,39499,Pet Products,1.06,3.12,1.00,0.15,0,5.33,0.15,8.4,4.3,13.1,4.65,11.59,Y,11,0,N
*052907020308,B005GX61RW,Avoderm Natural Adult Dog Lamb & Rice Dry Dog Food 4.4 LB (Pack of 6) ( Value Bulk Multi-pack),,,,AvoDerm,,,Pet Products,N/A,N/A,N/A,N/A,N/A,N/A,0.15,0,0,0,0,722.2,N,1,0,N
*052907020308,B005GXFPF6,Avoderm Natural Adult Dog Lamb & Rice Dry Dog Food 4.4 LB (Pack of 6) ( Value Bulk Multi-pack),,,,AvoDerm,,,Pet Products,N/A,N/A,N/A,N/A,N/A,N/A,0.15,0,0,0,0,N/A,N,0,0,N
