UPC,ASIN,Name,List Price,Model,MPN,Brand,Color,Sales Rank,Category,Pick & Pack,Weight Handling,Order Handling,30d Storage,VCF,FBA Fees,Referral,Width,Height,Length,Weight,Buy Box,FBA BB,New Offers,FBA Offers,AMZ on Listing
*026851071211,B000FPJ7UE,"Perfect Coat Puppy Bath Wipes, 24 count (J7121TL)",9.99,23007121,23007121,Perfect Coat,,115248,Pet Products,1.06,0.96,1.00,0.01,0,3.03,0.15,4.3,1,9.2,0.2,7.09,Y,14,2,Y
*611101765684,B001OVF1Z8,Perfect Coat Bath Wipes-Puppy (Pack of 24),,,J7121,8 IN 1 PET PRODUCTS,,753409,Pet Products,N/A,N/A,N/A,N/A,N/A,N/A,0.15,3,3,3,0,10.95,N,2,0,N
*026851071211,B004LODA2Q,Perfect Coat Bath Wipes-Puppy (Pack of 24),9.99,,J7121,Mojetto,,,Pet Products,N/A,N/A,N/A,N/A,N/A,N/A,0.15,0,0,0,0,N/A,N,6,0,N
*026851071228,B000FPL0HM,"Perfect Coat Deodorizing Bath Wipes for Dogs, 24-Count (J7122TL)",4.69,J7122TL,J7122,Perfect Coat,,138062,Pet Products,1.06,0.96,1.00,0.01,0,3.03,0.15,3.3,0.9,8.3,0.25,5.11,N,7,0,Y
*026851071228,B004PBFRFI,Bath Wipes Deodorizer (24 pieces),0.0,,J7122,8 in 1 Pet Products,Blacks & Grays,802547,Pet Products,N/A,N/A,N/A,N/A,N/A,N/A,0.15,0,0,0,0,23.0,N,1,0,N
*611101772200,B001OVCZ48,Dog Supplies Perfect Coat Bath Wipes Deod Dog 24Pk,10.99,,DEOJ7122,Mojetto,,672960,Pet Products,N/A,N/A,N/A,N/A,N/A,N/A,0.15,0,0,0,0,5.19,N,1,0,N
*026851071402,B01C7H3EFQ,8in1 Perfect Coat Bath Wipes Tub - 300 Total (3 Packs with 100 Wipes per Pack),,,,8 in 1,,,Pet Products,1.06,3.12,1.00,0.09,0,5.27,0.15,7,4.3,10,4.15,26.99,Y,1,1,N
*026851071402,B000FPKZPA,"8in1 Perfect Coat Bath Wipes, Puppy, 100-Count",14.99,J7140,J7140TL,Perfect Coat,Blacks & Grays,810,Pet Products,1.06,1.95,1.00,0.03,0,4.04,0.15,4.5,3.3,6.4,1.45,6.39,N,20,0,Y
*707005172670,B000NIG5R6,Perfect Coat Bath Wipes-Puppy,15.09,BC665643,J7140,United Pet Group,,432992,Pet Products,1.06,1.95,1.00,0.04,0,4.05,0.15,4.1,3.6,8,1.4,18.76,N,3,0,N
*026851071617,B005PR3RU8,Safe-Guard® Canine 1g 3pk,,,026851071617,Merck,,241507,Pet Products,N/A,N/A,N/A,N/A,N/A,N/A,0.15,0,0,0,0,6.9,N,1,0,N
*886827786828,B0041TE4Y4,Eio Wormer Safeguard 4 Sm Dog,,,J7161-1,Safeguard,,81505,Pet Products,1.06,0.50,1.00,0.00,0,2.56,0.15,3.6,0.6,5.2,0.02,9.34,Y,8,5,N
*026851071617,B000FPH2EW,"8 In 1 Safe Guard Canine DeWormer for S Dogs, 1-Gram",12.99,DEOJ71611,DEOJ71611,Excel,Blacks & Grays,1128,Pet Products,1.06,0.50,1.00,0.00,0,2.56,0.15,3.6,0.5,5.5,0.02,6.99,Y,19,2,Y
*026851071617,B007TU025C,Dog Supplies Eight-In-One Quad Wormer For Dogs,,,EI07161,UPG - COMPANION ANIMAL,,125752,Pet Products,1.06,0.50,1.00,0.00,0,2.56,0.15,3.4,0.6,4.4,0.05,15.59,Y,4,1,N
