UPC,ASIN,Name,List Price,Model,MPN,Brand,Color,Sales Rank,Category,Pick & Pack,Weight Handling,Order Handling,30d Storage,VCF,FBA Fees,Referral,Width,Height,Length,Weight,Buy Box,FBA BB,New Offers,FBA Offers,AMZ on Listing
*018214830160,B00KJHDQW8,Nutri Dent Complete Grain Free Small Dog Chew 42ct,,,NTD901T42P,Nylabone,,115817,Pet Products,1.06,2.34,1.00,0.08,0,4.48,0.15,7.7,4,7.9,1.9,27.99,N,1,0,N
*018214830160,B00B9DUUGG,"Nylabone Nutri Dent Petite Peanut Butter Flavored Dental Bone Grain Free Dog Treats, 42 Count",40.99,NTD901T42P,NTD901T42P,Nylabone,,15965,Pet Products,1.06,2.34,1.00,0.08,0,4.48,0.15,7.8,4,8,1.85,24.41,Y,12,2,Y
*018214830177,B00B9E4PKC,"Nylabone Nutri Dent Medium Peanut Butter Flavored Dental Bone Grain Free Dog Treats, 26 Count",40.99,NTD902T26P,NTD902T26P,Nylabone,,9025,Pet Products,1.06,2.34,1.00,0.08,0,4.48,0.15,7.7,4.1,8,2.05,20.39,Y,10,1,Y
*885218162562,B00EE65K88,Nylabone Dura Chew Monster Peanut Butter Flavored Barbell Dog Chew Toy,22.99,NBC907P,NBC907P,Nylabone,,18356,Pet Products,1.06,1.95,1.00,0.05,0,4.06,0.15,5.1,2.5,11.5,1,12.7,N,17,0,N
*885101291447,B00EE65O8Y,Nylabone Dura Chew Marrow Bone Dog Chew Toy,23.99,NMB900P,NMB900P,Nylabone,,37400,Pet Products,1.06,1.95,1.00,0.02,0,4.03,0.15,3.3,2.2,7.3,0.85,14.21,Y,13,3,Y
*018214830337,B00EE655I8,Nylabone FlexiChew Small/Medium Bumpy Bone Dog Chew Toy,11.99,NX601P,NX601P,Nylabone,,101706,Pet Products,1.06,0.96,1.00,0.02,0,3.04,0.15,4.3,1.5,8.2,0.3,11.99,Y,8,1,Y
*018214830344,B00EE6550Q,Nylabone FlexiChew Large/ Extra Large Bumpy Bone Dog Chew Toy,21.99,NX602P,NX602P,Nylabone,,35287,Pet Products,1.06,0.96,1.00,0.02,0,3.04,0.15,3.5,1.4,10,0.35,16.91,Y,7,1,Y
*885130426094,B00E5DEBEY,Nylabone Dura Chew Wolf Peanut Butter Flavored Bone Dog Chew Toy,7.49,NPB103P,NPB103P,Nylabone,,48356,Pet Products,1.06,0.96,1.00,0.01,0,3.03,0.15,4.25,0.87,8.03,0.22,7.45,Y,22,2,Y
*885118819184,B00E5DEBOO,Nylabone Dura Chew Giant Peanut Butter Flavored Bone Dog Chew Toy,10.49,NPB104P,NPB104P,Nylabone,,22204,Pet Products,1.06,0.96,1.00,0.01,0,3.03,0.15,4.5,1,10,0.25,9.09,Y,25,2,Y
*617407679656,B00EE6563C,Nylabone Dura Chew Ham Steak Dog Chew Toy,12.99,NHS600P,NHS600P,Nylabone,,69127,Pet Products,1.06,0.96,1.00,0.01,0,3.03,0.15,4.6,1.2,5.8,0.2,12.99,Y,1,1,Y
*018214830504,B00H9X0EMA,Nylabone Corp (bones)-Dura Dental Chews Dino Dog Chew- Assorted Assorted,8.38,BC491402,NDD300P,Nylabone,,554292,Pet Products,N/A,N/A,N/A,N/A,N/A,N/A,0.15,0,0,0,0,9.72,N,1,0,N
*None,B00FN1N396,Nylabone Durable Chew Kit,,NDD101P,NDD101P,Nylabone,,91344,Pet Products,N/A,N/A,N/A,N/A,N/A,N/A,0.15,0,0,0,0,N/A,N,0,0,N
*018214830504,B00PIYKRLU,Nylabone Corp - bones-Dura Dental Chews Dino Dog Chew- Assorted Assorted,21.3,,491402,Nylabone,,306450,Pet Products,N/A,N/A,N/A,N/A,N/A,N/A,0.15,0,0,0,0,N/A,N,0,0,N
*018214778509,B000084E6V,"Nylabone Dura Chew Original Flavored Dental Dinosaur Chew Toy, Dinosaur Style Varies",9.99,NDD300P,NDD300P,Nylabone,"Available in 3 shapes: T-rex, Brontosaurus, and StegosaurusNatural",3356,Pet Products,1.06,0.96,1.00,0.02,0,3.04,0.15,5.9,2,6,0.35,6.95,N,74,0,N
*018214830528,B00HXX22BM,Puppy Chew Textured Ring And Flat Bone Puppy Chew (Pack of 2),,NP201TPP,NP201TPP,Nylabone,,470230,Pet Products,N/A,N/A,N/A,N/A,N/A,N/A,0.15,0,0,0,0,12.22,N,2,0,N
*018214830528,B00EE653BC,"Nylabone Just For Puppies Petite Ring and Bone Puppy Dog Chew Toys, Combo Pack",6.99,NP201TPP,NP201TPP,Nylabone,,2245,Pet Products,1.06,0.96,1.00,0.00,0,3.02,0.15,3.4,0.8,5.5,0.02,6.99,Y,14,1,Y
*018214830535,B00EE6508S,"Nylabone Just For Puppies Wolf Ring and Flexi Bone Puppy Dog Chew Toy, Combo Pack",12.99,NP203TPP,NP203TPP,Nylabone,,22078,Pet Products,1.06,0.96,1.00,0.01,0,3.03,0.15,5.5,1,7.1,0.15,7.01,N,14,0,Y
*018214830535,B00HXX22O4,Puppy Chew Ring And Flat Bone Puupy Chew (Pack of 2),,,NP203TPP,,,167938,Pet Products,1.06,0.96,1.00,0.02,0,3.04,0.15,6,1,9,0.55,29.65,N,2,0,N
*018214830559,B00HXX1UVK,Dura Chew Wavy And Flat Bone Dog Chew (Pack of 2),,,NG304TPP,,,604552,Pet Products,N/A,N/A,N/A,N/A,N/A,N/A,0.15,0,0,0,0,N/A,N,0,0,N
*617407679564,B00EE65JNE,Nylabone Dura Chew Giant Peanut Butter Flavored Wavy Bone Dog Chew Toy,16.99,NG304TPP,NG304TPP,Nylabone,,66474,Pet Products,1.06,0.96,1.00,0.04,0,3.06,0.15,6.5,1.6,11.5,0.65,16.99,Y,11,1,Y
*885196032086,B00EE65LYQ,Nylabone Dura Chew Wolf Combo Pack Dog Chew Toy,16.99,NW303TPP,NW303TPP,Nylabone,,21052,Pet Products,1.06,0.96,1.00,0.02,0,3.04,0.15,5.6,1,8.6,0.25,10.65,Y,4,2,Y
*617407679502,B00EE65NBM,"Nylabone Dura Chew Petite Ring bone Dog Chew Toy, Twin Pack",5.99,NP301TPP,NP301TPP,Nylabone,,34637,Pet Products,1.06,0.50,1.00,0.00,0,2.56,0.15,3.2,0.6,4.3,0.02,5.84,Y,16,2,Y
*018214830603,B00E5DEEAU,"Nylabone Dura Chew Wolf Chicken and Peanut Butter Flavored Bone Dog Chew Toy, Combo Pack",12.99,NW503TPP,NW503TPP,Nylabone,,18205,Pet Products,1.06,0.96,1.00,0.01,0,3.03,0.15,5.4,1,8.8,0.5,9.96,Y,17,2,Y
*018214830603,B01BH2V7JM,"Nylabone Dura Chew Chicken and Peanut Butter Flavored Bone Dog Chew Toy, Size Wolf/Medium Combo Pack (3 Combo Packs)",,,,Nylabone,,,Pet Products,1.06,1.95,1.00,0.06,0,4.07,0.15,7,3,9.5,1.4,29.99,Y,1,1,N
*015568982156,B00FMIWTE0,"Nylabone Healthy Edibles Petite Filet Mignon Flavored Dog Treat, 34 Count",39.99,NGF101T34P,NGF101T34P,Nylabone,,6575,Pet Products,1.06,2.34,1.00,0.07,0,4.47,0.15,7.7,4,7.7,2,26.4,Y,9,3,Y
*018214831297,B00WMD8VJU,"Nylabone Advanced Oral Care Natural Dog Tartar Remover, 16 oz",9.99,NPD620P,NPD620P,Nylabone,,65980,Pet Products,1.06,2.34,1.00,0.02,0,4.42,0.15,2.6,2.4,9,1.85,9.91,Y,4,2,Y
*018214831297,B01BCQB1J4,Nylabone Advanced Oral Care Natural Dog Tartar Remover - 16 oz Bottles (3 Pack),,,,Nylabone,,220312,Pet Products,1.06,2.73,1.00,0.06,0,4.85,0.15,5,5,8,3,N/A,N,0,0,N
*018214831303,B0101L6U5G,"Nylabone Advanced Oral Care Natural Dog Fresh Foam, 3 oz",11.99,NPD623P,NPD623P,Nylabone,,75620,Pet Products,1.06,0.96,1.00,0.00,0,3.02,0.15,2.2,1,6,0.3,8.64,Y,8,3,Y
*018214831303,B01BFL4O2M,"Nylabone Advanced Oral Care Natural Dog Fresh Foam, 3 oz (3 Pack)",,,,Nylabone,,,Pet Products,1.06,1.95,1.00,0.02,0,4.03,0.15,5,2,6.5,0.8,24.99,Y,1,1,N
*018214831310,B00WMD8PE6,"Nylabone Advanced Oral Care Natural Dog Fresh Spray, 4 oz",8.99,NPD622P,NPD622P,Nylabone,,44216,Pet Products,1.06,0.96,1.00,0.00,0,3.02,0.15,1.6,1,4.4,0.5,7.84,Y,7,3,Y
*018214831761,B00IWLWQR4,Nylabone Nutri Dent Complete Small Filet Mignon Flavored Dog Treat Bone-1.5 lbs,40.99,NTD701T50P,NTD701T50P,Nylabone,,2940,Pet Products,1.06,2.34,1.00,0.08,0,4.48,0.15,7.7,4,8,2.05,19.54,Y,11,2,Y
*018214831778,B00IWLWT1C,"Nylabone Nutri Dent Complete Medium Filet Mignon Flavored Dog Treat Bone, 32 Count",40.99,NTD702T32P,NTD702T32P,Nylabone,,1454,Pet Products,1.06,2.34,1.00,0.08,0,4.48,0.15,7.7,4,7.9,2.5,22.99,Y,11,2,Y
*018214831853,B015PBBC46,Nylabone Corp (bones)-Dura Chew Axis Bone- Bacon NAX001P,,,491463,Nylabone,,,Pet Products,N/A,N/A,N/A,N/A,N/A,N/A,0.15,0,0,0,0,N/A,N,0,0,N
*018214831853,B010BU22UE,Dura Chew Axis Bone,26.03,TF83185,TF83185,TFH,,,Pet Products,N/A,N/A,N/A,N/A,N/A,N/A,0.15,0,0,0,0,23.09,N,2,0,N
*018214831853,B00JZIDGZO,Nylabone Dura Chew Axis Bone Dog Chew Toy,19.99,NAX001P,NAX001P,Nylabone,,4912,Pet Products,1.06,0.96,1.00,0.08,0,3.10,0.15,7,3.5,10,0.55,10.01,Y,18,1,Y
*799360744548,B00JZIDFKA,Nylabone Dura Chew Wolf Knobby Stick Bone Dog Chew Toy,11.99,NKS103P,NKS103P,Nylabone,,7552,Pet Products,1.06,0.96,1.00,0.01,0,3.03,0.15,2.99,0.94,6.54,0.02,7.0,Y,20,3,Y
*018214831907,B00JZIDGVI,Nylabone Nyla Flex Large Wavy Arm Bone Dog Chew Toy (Beef),17.99,NWA005P,NWA005P,Nylabone,,31522,Pet Products,1.06,0.96,1.00,0.01,0,3.03,0.15,5,1.2,7,0.55,9.68,Y,11,1,Y
*018214831907,B00PJ07H70,2-In-1 Nylaflex Wavy Arm (Pack of 2),,,NWA005P,,,602890,Pet Products,N/A,N/A,N/A,N/A,N/A,N/A,0.15,1,1,1,0,33.19,N,3,0,N
*018214831914,B00JZIDH3K,Nylabone Nyla Flex Small Wavy Arm Bone Dog Chew Toy (Beef),10.99,NWA001P,NWA001P,Nylabone,,50065,Pet Products,1.06,0.96,1.00,0.01,0,3.03,0.15,5,1.2,5.5,0.35,5.36,N,19,0,Y
*018214831921,B00PJ0BF3W,2-In-1 Nylaflex Weave Bone (Pack of 2),,,NWB005P,,,479289,Pet Products,N/A,N/A,N/A,N/A,N/A,N/A,0.15,0,0,0,0,13.38,N,4,0,N
*018214831921,B00JZIDH2Q,Nylabone Nyla Flex Large Weave Bone Dog Chew Toy (Bacon),13.99,NWB005P,NWB005P,Nylabone,,71004,Pet Products,1.06,0.96,1.00,0.01,0,3.03,0.15,5.2,1.2,5.7,0.45,8.46,Y,16,3,Y
*018214831938,B00JZIDHYY,Nylabone Nyla Flex Small Weave Bone Dog Chew Toy (Bacon),6.99,NWB001P,NWB001P,Nylabone,,75989,Pet Products,1.06,0.50,1.00,0.00,0,2.56,0.15,4,0.7,4.1,0.02,5.66,Y,19,2,Y
*018214831952,B00LB14B5W,Nylabone Go!Active Tug Dog Toy,17.99,NAT001P,NAT001P,Nylabone,,105573,Pet Products,1.06,0.50,1.00,0.01,0,2.57,0.15,5.3,0.6,13,0.02,8.2,Y,15,1,Y
*018214831952,B00PJ0CMBG,"Go Active Ready, Set, Tug (Pack of 2)",26.79,,NAT001P,Nylabone,,,Pet Products,N/A,N/A,N/A,N/A,N/A,N/A,0.15,0,0,0,0,21.87,N,4,0,N
*018214831969,B01BCP3EWM,Nylabone Go!Active Oddball Dog Toys (4 Pack),,,,Nylabone,,65209,Pet Products,1.06,1.95,1.00,0.07,0,4.08,0.15,6,4.5,8.5,1.25,19.99,Y,1,1,N
*018214831969,B00LRHGRIE,Nylabone Go!Active Oddball Dog Toy,7.99,NAO001P,NAO001P,Nylabone,Orange,19253,Pet Products,1.06,0.96,1.00,0.02,0,3.04,0.15,4.38,2.5,5.8,0.25,4.9,N,16,0,Y
*018214831976,B00LB14B4S,Nylabone Go!Active 3-Point Tug Dog Toy,13.99,NA001P,NA001P,Nylabone,Multicolor,86512,Pet Products,1.06,0.50,1.00,0.01,0,2.57,0.15,5.5,0.5,7.7,0.35,6.04,N,14,0,Y
*018214831976,B00PJ0C6CQ,Nyl Toy Go Active 3 Point Tug (Pack of 2),,,491454,Nylabone,,465598,Pet Products,1.06,0.50,1.00,0.00,0,2.56,0.15,0.8,0.2,3.2,0.25,12.1,Y,3,1,N
*018214831983,B00LB14BHA,Nylabone Go!Active Small Odd Stick Tug Dog Toy,9.99,NFS001P,NFS001P,Nylabone,Yellow,180943,Pet Products,1.06,0.96,1.00,0.03,0,3.05,0.15,4.5,1.97,10.24,0.26,6.94,N,14,0,Y
*018214831990,B00PJ0D0VW,Nylabone Corp (bones)-Go Active Flying Stick- Orange Large NFS005P,25.73,,491459,Nylabone,Orange,263112,Pet Products,N/A,N/A,N/A,N/A,N/A,N/A,0.15,0,0,0,0,19.8,N,2,0,N
*018214831990,B00LB14BFW,Nylabone Go!Active Large Odd Stick Tug Dog Toy,15.99,NFS005P,NFS005P,Nylabone,Yellow,55094,Pet Products,1.06,0.96,1.00,0.02,0,3.04,0.15,5,1.3,10.5,0.45,8.08,Y,16,1,Y
*018214832034,B00JZIDCCQ,Nylabone Romp 'N Chomp Arc Bone Dog Treat and Chew Toy Peanut Butter Flavor,16.99,NTH001P,NTH001P,Nylabone,,38846,Pet Products,1.06,0.96,1.00,0.02,0,3.04,0.15,5.4,1.4,9.2,0.5,8.17,Y,5,1,Y
*018214832164,B00IWLWQQA,Nylabone Nutri Dent Complete Medium Filet Mignon Flavored Dog Treat Bone,8.49,NTD702M07P,NTD702M07P,Nylabone,,116401,Pet Products,1.06,0.96,1.00,0.02,0,3.04,0.15,4.9,1.9,8,0.5,5.09,N,10,0,Y
*018214832348,B00JZIDFGO,Nylabone Dura Chew Souper Peanut Butter Flavored Bone Dog Chew Toy,13.99,NPB105P,NPB105P,Nylabone,,990,Pet Products,1.06,0.96,1.00,0.02,0,3.04,0.15,4,1.4,10,0.4,8.99,Y,14,1,Y
*018214832348,B00PJ0DCEM,Dura Chew Souper Bone (Pack of 2),,,NPB105P,,,371732,Pet Products,N/A,N/A,N/A,N/A,N/A,N/A,0.15,0,0,0,0,31.52,N,2,0,N
*018214832355,B00JZIDCKI,"Nylabone Romp 'N Chomp Mini Peanut Butter Flavored Souper Dog Chew Toy Refills, 9 Count",6.49,NTH170P,NTH170P,Nylabone,,9355,Pet Products,1.06,0.96,1.00,0.01,0,3.03,0.15,3.5,1.5,6.7,0.2,3.59,N,4,0,Y
*018214832362,B00JZIDCC6,"Nylabone Romp 'N Chomp Peanut Butter Flavored Treat Bar Refills, 12 Count",9.99,NTH570P,NTH570P,Nylabone,,33071,Pet Products,1.06,0.96,1.00,0.01,0,3.03,0.15,4.4,1.5,4.8,0.7,N/A,N,1,0,N
*018214832379,B00JZIDFKK,"Nylabone Dura Chew Regular Red, White, and Blue Bone Triple Pack",10.99,NR106P,NR106P,Nylabone,,3210,Pet Products,1.06,0.96,1.00,0.01,0,3.03,0.15,5.4,0.8,6.6,0.3,6.01,N,14,0,Y
